Initial theoretical error:6
Computed Error:6.01908333333
Threshold:0 , e'(T):6.02209438052 , Fe(t): 6.0 , LB: 0.050000  , HB: 99.950000  , TB: 0.000000  , H: 0.050000 
Threshold:1 , e'(T):6.05027998525 , Fe(t): 6.78333333333 , LB: 0.590000  , HB: 99.410000  , TB: 0.000000  , H: 0.050000 
Threshold:2 , e'(T):6.12244376278 , Fe(t): 7.56666666667 , LB: 2.200000  , HB: 97.800000  , TB: 0.000000  , H: 0.050000 
Threshold:3 , e'(T):6.28579824749 , Fe(t): 8.35 , LB: 6.420000  , HB: 93.580000  , TB: 0.000000  , H: 0.050000 
Threshold:4 , e'(T):6.57011480787 , Fe(t): 9.13333333333 , LB: 14.640000  , HB: 85.360000  , TB: 0.000000  , H: 0.050000 
Threshold:5 , e'(T):6.94772039221 , Fe(t): 9.91666666667 , LB: 26.230000  , HB: 73.770000  , TB: 0.000000  , H: 0.050000 
Threshold:6 , e'(T):7.43119007332 , Fe(t): 10.7 , LB: 40.900000  , HB: 59.100000  , TB: 0.000000  , H: 0.050000 
Threshold:7 , e'(T):8.00421455939 , Fe(t): 11.4833333333 , LB: 56.500000  , HB: 43.500000  , TB: 0.000000  , H: 0.050000 
Threshold:8 , e'(T):8.64636497675 , Fe(t): 12.2666666667 , LB: 70.610000  , HB: 29.390000  , TB: 0.000000  , H: 0.050000 
Threshold:9 , e'(T):9.316262354 , Fe(t): 13.05 , LB: 81.450000  , HB: 18.550000  , TB: 0.000000  , H: 0.050000 
Threshold:10 , e'(T):10.0405742821 , Fe(t): 13.8333333333 , LB: 89.320000  , HB: 10.680000  , TB: 0.000000  , H: 0.050000 
Threshold:11 , e'(T):10.7512733447 , Fe(t): 14.6166666667 , LB: 94.110000  , HB: 5.890000  , TB: 0.000000  , H: 0.050000 
Threshold:12 , e'(T):11.4603960396 , Fe(t): 15.4 , LB: 96.970000  , HB: 3.030000  , TB: 0.000000  , H: 0.050000 
Threshold:13 , e'(T):12.2101449275 , Fe(t): 16.1833333333 , LB: 98.620000  , HB: 1.380000  , TB: 0.000000  , H: 0.050000 
Threshold:14 , e'(T):13.0555555556 , Fe(t): 16.9666666667 , LB: 99.460000  , HB: 0.540000  , TB: 0.000000  , H: 0.050000 
Threshold:15 , e'(T):13.6538461538 , Fe(t): 17.75 , LB: 99.740000  , HB: 0.260000  , TB: 0.000000  , H: 0.050000 
Threshold:16 , e'(T):14.375 , Fe(t): 18.5333333333 , LB: 99.920000  , HB: 0.080000  , TB: 0.000000  , H: 0.050000 
Threshold:17 , e'(T):15.8333333333 , Fe(t): 19.3166666667 , LB: 99.990000  , HB: 0.010000  , TB: 0.000000  , H: 0.050000 
Threshold:18 , e'(T):15.8333333333 , Fe(t): 20.1 , LB: 99.990000  , HB: 0.010000  , TB: 0.000000  , H: 0.050000 
Threshold:19 , e'(T):None , Fe(t): 20.8833333333 , LB: 100.000000  , HB: 0.000000  , TB: 0.000000  , H: 0.050000 
Threshold:20 , e'(T):None , Fe(t): 21.6666666667 , LB: 100.000000  , HB: 0.000000  , TB: 0.000000  , H: 0.050000 
