Initial theoretical error:26
Computed Error:25.9564166667
Threshold:0 , e'(T):25.9564166667 , Fe(t): 26.0 , LB: 0.000000  , HB: 1.010000  , TB: 98.990000  , H: 0.000000 
Threshold:1 , e'(T):25.9564166667 , Fe(t): 26.6166666667 , LB: 0.000000  , HB: 1.010000  , TB: 98.990000  , H: 0.000000 
Threshold:2 , e'(T):25.9564166667 , Fe(t): 27.2333333333 , LB: 0.000000  , HB: 1.010000  , TB: 98.990000  , H: 0.000000 
Threshold:3 , e'(T):25.9564166667 , Fe(t): 27.85 , LB: 0.000000  , HB: 1.010000  , TB: 98.990000  , H: 0.000000 
Threshold:4 , e'(T):25.9564166667 , Fe(t): 28.4666666667 , LB: 0.000000  , HB: 1.010000  , TB: 98.990000  , H: 0.000000 
Threshold:5 , e'(T):25.9564166667 , Fe(t): 29.0833333333 , LB: 0.000000  , HB: 1.010000  , TB: 98.990000  , H: 0.000000 
Threshold:6 , e'(T):25.9564166667 , Fe(t): 29.7 , LB: 0.000000  , HB: 1.010000  , TB: 98.990000  , H: 0.000000 
Threshold:7 , e'(T):25.9564166667 , Fe(t): 30.3166666667 , LB: 0.000000  , HB: 1.010000  , TB: 98.990000  , H: 0.000000 
Threshold:8 , e'(T):25.9564166667 , Fe(t): 30.9333333333 , LB: 0.000000  , HB: 1.010000  , TB: 98.990000  , H: 0.000000 
Threshold:9 , e'(T):25.9564166667 , Fe(t): 31.55 , LB: 0.000000  , HB: 1.010000  , TB: 98.990000  , H: 0.000000 
Threshold:10 , e'(T):25.9564166667 , Fe(t): 32.1666666667 , LB: 0.000000  , HB: 1.010000  , TB: 98.990000  , H: 0.000000 
Threshold:11 , e'(T):25.9564166667 , Fe(t): 32.7833333333 , LB: 0.000000  , HB: 1.010000  , TB: 98.990000  , H: 0.000000 
Threshold:12 , e'(T):25.9564166667 , Fe(t): 33.4 , LB: 0.000000  , HB: 1.010000  , TB: 98.990000  , H: 0.000000 
Threshold:13 , e'(T):25.9564166667 , Fe(t): 34.0166666667 , LB: 0.000000  , HB: 1.010000  , TB: 98.990000  , H: 0.000000 
Threshold:14 , e'(T):25.9564166667 , Fe(t): 34.6333333333 , LB: 0.000000  , HB: 1.010000  , TB: 98.990000  , H: 0.000000 
Threshold:15 , e'(T):25.9591084884 , Fe(t): 35.25 , LB: 0.020000  , HB: 0.990000  , TB: 98.990000  , H: 0.000000 
Threshold:16 , e'(T):25.9666900187 , Fe(t): 35.8666666667 , LB: 0.080000  , HB: 0.930000  , TB: 98.990000  , H: 0.000000 
Threshold:17 , e'(T):25.9690523857 , Fe(t): 36.4833333333 , LB: 0.100000  , HB: 0.910000  , TB: 98.990000  , H: 0.000000 
Threshold:18 , e'(T):25.987750259 , Fe(t): 37.1 , LB: 0.270000  , HB: 0.740000  , TB: 98.990000  , H: 0.000000 
Threshold:19 , e'(T):26.0163398693 , Fe(t): 37.7166666667 , LB: 0.550000  , HB: 0.460000  , TB: 98.990000  , H: 0.000000 
Threshold:20 , e'(T):26.0597871839 , Fe(t): 38.3333333333 , LB: 1.010000  , HB: 0.000000  , TB: 98.990000  , H: 0.000000 
