Initial theoretical error:14
Computed Error:14.00925
Threshold:0 , e'(T):14.00925 , Fe(t): 14.0 , LB: 0.000000  , HB: 83.930000  , TB: 16.070000  , H: 0.000000 
Threshold:1 , e'(T):14.00925 , Fe(t): 14.7166666667 , LB: 0.000000  , HB: 83.930000  , TB: 16.070000  , H: 0.000000 
Threshold:2 , e'(T):14.00925 , Fe(t): 15.4333333333 , LB: 0.000000  , HB: 83.930000  , TB: 16.070000  , H: 0.000000 
Threshold:3 , e'(T):14.00925 , Fe(t): 16.15 , LB: 0.000000  , HB: 83.930000  , TB: 16.070000  , H: 0.000000 
Threshold:4 , e'(T):14.0103176984 , Fe(t): 16.8666666667 , LB: 0.010000  , HB: 83.920000  , TB: 16.070000  , H: 0.000000 
Threshold:5 , e'(T):14.0152424788 , Fe(t): 17.5833333333 , LB: 0.060000  , HB: 83.870000  , TB: 16.070000  , H: 0.000000 
Threshold:6 , e'(T):14.0206581231 , Fe(t): 18.3 , LB: 0.120000  , HB: 83.810000  , TB: 16.070000  , H: 0.000000 
Threshold:7 , e'(T):14.0412024491 , Fe(t): 19.0166666667 , LB: 0.370000  , HB: 83.560000  , TB: 16.070000  , H: 0.000000 
Threshold:8 , e'(T):14.0851339526 , Fe(t): 19.7333333333 , LB: 0.960000  , HB: 82.970000  , TB: 16.070000  , H: 0.000000 
Threshold:9 , e'(T):14.165900109 , Fe(t): 20.45 , LB: 2.160000  , HB: 81.770000  , TB: 16.070000  , H: 0.000000 
Threshold:10 , e'(T):14.2882361126 , Fe(t): 21.1666666667 , LB: 4.170000  , HB: 79.760000  , TB: 16.070000  , H: 0.000000 
Threshold:11 , e'(T):14.4720390588 , Fe(t): 21.8833333333 , LB: 7.490000  , HB: 76.440000  , TB: 16.070000  , H: 0.000000 
Threshold:12 , e'(T):14.7248553373 , Fe(t): 22.6 , LB: 12.440000  , HB: 71.490000  , TB: 16.070000  , H: 0.000000 
Threshold:13 , e'(T):15.0090890523 , Fe(t): 23.3166666667 , LB: 18.400000  , HB: 65.530000  , TB: 16.070000  , H: 0.000000 
Threshold:14 , e'(T):15.3992746681 , Fe(t): 24.0333333333 , LB: 26.930000  , HB: 57.000000  , TB: 16.070000  , H: 0.000000 
Threshold:15 , e'(T):15.8739448957 , Fe(t): 24.75 , LB: 37.210000  , HB: 46.720000  , TB: 16.070000  , H: 0.000000 
Threshold:16 , e'(T):16.3952335253 , Fe(t): 25.4666666667 , LB: 47.900000  , HB: 36.030000  , TB: 16.070000  , H: 0.000000 
Threshold:17 , e'(T):16.9746070133 , Fe(t): 26.1833333333 , LB: 58.650000  , HB: 25.280000  , TB: 16.070000  , H: 0.000000 
Threshold:18 , e'(T):17.5708438287 , Fe(t): 26.9 , LB: 68.240000  , HB: 15.690000  , TB: 16.070000  , H: 0.000000 
Threshold:19 , e'(T):18.2357422725 , Fe(t): 27.6166666667 , LB: 77.030000  , HB: 6.900000  , TB: 16.070000  , H: 0.000000 
Threshold:20 , e'(T):18.9094586185 , Fe(t): 28.3333333333 , LB: 83.930000  , HB: 0.000000  , TB: 16.070000  , H: 0.000000 
