Initial theoretical error:18
Computed Error:18.0153333333
Threshold:0 , e'(T):18.0153333333 , Fe(t): 18.0 , LB: 0.000000  , HB: 40.460000  , TB: 59.540000  , H: 0.000000 
Threshold:1 , e'(T):18.0153333333 , Fe(t): 18.6833333333 , LB: 0.000000  , HB: 40.460000  , TB: 59.540000  , H: 0.000000 
Threshold:2 , e'(T):18.0153333333 , Fe(t): 19.3666666667 , LB: 0.000000  , HB: 40.460000  , TB: 59.540000  , H: 0.000000 
Threshold:3 , e'(T):18.0153333333 , Fe(t): 20.05 , LB: 0.000000  , HB: 40.460000  , TB: 59.540000  , H: 0.000000 
Threshold:4 , e'(T):18.0153333333 , Fe(t): 20.7333333333 , LB: 0.000000  , HB: 40.460000  , TB: 59.540000  , H: 0.000000 
Threshold:5 , e'(T):18.0153333333 , Fe(t): 21.4166666667 , LB: 0.000000  , HB: 40.460000  , TB: 59.540000  , H: 0.000000 
Threshold:6 , e'(T):18.0153333333 , Fe(t): 22.1 , LB: 0.000000  , HB: 40.460000  , TB: 59.540000  , H: 0.000000 
Threshold:7 , e'(T):18.0153333333 , Fe(t): 22.7833333333 , LB: 0.000000  , HB: 40.460000  , TB: 59.540000  , H: 0.000000 
Threshold:8 , e'(T):18.0176035207 , Fe(t): 23.4666666667 , LB: 0.020000  , HB: 40.440000  , TB: 59.540000  , H: 0.000000 
Threshold:9 , e'(T):18.0186555967 , Fe(t): 24.15 , LB: 0.030000  , HB: 40.430000  , TB: 59.540000  , H: 0.000000 
Threshold:10 , e'(T):18.0351536406 , Fe(t): 24.8333333333 , LB: 0.200000  , HB: 40.260000  , TB: 59.540000  , H: 0.000000 
Threshold:11 , e'(T):18.0601051715 , Fe(t): 25.5166666667 , LB: 0.480000  , HB: 39.980000  , TB: 59.540000  , H: 0.000000 
Threshold:12 , e'(T):18.1196646084 , Fe(t): 26.2 , LB: 1.210000  , HB: 39.250000  , TB: 59.540000  , H: 0.000000 
Threshold:13 , e'(T):18.1979401132 , Fe(t): 26.8833333333 , LB: 2.260000  , HB: 38.200000  , TB: 59.540000  , H: 0.000000 
Threshold:14 , e'(T):18.3225593438 , Fe(t): 27.5666666667 , LB: 4.090000  , HB: 36.370000  , TB: 59.540000  , H: 0.000000 
Threshold:15 , e'(T):18.4918633763 , Fe(t): 28.25 , LB: 6.800000  , HB: 33.660000  , TB: 59.540000  , H: 0.000000 
Threshold:16 , e'(T):18.7153438561 , Fe(t): 28.9333333333 , LB: 10.670000  , HB: 29.790000  , TB: 59.540000  , H: 0.000000 
Threshold:17 , e'(T):19.0114661579 , Fe(t): 29.6166666667 , LB: 16.130000  , HB: 24.330000  , TB: 59.540000  , H: 0.000000 
Threshold:18 , e'(T):19.3722113927 , Fe(t): 30.3 , LB: 23.050000  , HB: 17.410000  , TB: 59.540000  , H: 0.000000 
Threshold:19 , e'(T):19.8035427905 , Fe(t): 30.9833333333 , LB: 31.410000  , HB: 9.050000  , TB: 59.540000  , H: 0.000000 
Threshold:20 , e'(T):20.2803437465 , Fe(t): 31.6666666667 , LB: 40.460000  , HB: 0.000000  , TB: 59.540000  , H: 0.000000 
