Initial theoretical error:26
Computed Error:25.9803333333
Threshold:0 , e'(T):25.9803333333 , Fe(t): 26.0 , LB: 0.000000  , HB: 6.180000  , TB: 93.820000  , H: 0.000000 
Threshold:1 , e'(T):25.9803333333 , Fe(t): 27.2333333333 , LB: 0.000000  , HB: 6.180000  , TB: 93.820000  , H: 0.000000 
Threshold:2 , e'(T):25.9803333333 , Fe(t): 28.4666666667 , LB: 0.000000  , HB: 6.180000  , TB: 93.820000  , H: 0.000000 
Threshold:3 , e'(T):25.9803333333 , Fe(t): 29.7 , LB: 0.000000  , HB: 6.180000  , TB: 93.820000  , H: 0.000000 
Threshold:4 , e'(T):25.9822648932 , Fe(t): 30.9333333333 , LB: 0.010000  , HB: 6.170000  , TB: 93.820000  , H: 0.000000 
Threshold:5 , e'(T):25.9893279973 , Fe(t): 32.1666666667 , LB: 0.050000  , HB: 6.130000  , TB: 93.820000  , H: 0.000000 
Threshold:6 , e'(T):26.0037385673 , Fe(t): 33.4 , LB: 0.140000  , HB: 6.040000  , TB: 93.820000  , H: 0.000000 
Threshold:7 , e'(T):26.0440516837 , Fe(t): 34.6333333333 , LB: 0.420000  , HB: 5.760000  , TB: 93.820000  , H: 0.000000 
Threshold:8 , e'(T):26.1625785526 , Fe(t): 35.8666666667 , LB: 1.340000  , HB: 4.840000  , TB: 93.820000  , H: 0.000000 
Threshold:9 , e'(T):26.3935443824 , Fe(t): 37.1 , LB: 3.340000  , HB: 2.840000  , TB: 93.820000  , H: 0.000000 
Threshold:10 , e'(T):26.687984083 , Fe(t): 38.3333333333 , LB: 6.180000  , HB: 0.000000  , TB: 93.820000  , H: 0.000000 
