Initial theoretical error:18
Computed Error:18.0113333333
Threshold:0 , e'(T):18.0131346468 , Fe(t): 18.0 , LB: 0.010000  , HB: 47.330000  , TB: 52.660000  , H: 0.010000 
Threshold:1 , e'(T):18.0147696206 , Fe(t): 19.3666666667 , LB: 0.020000  , HB: 47.320000  , TB: 52.660000  , H: 0.010000 
Threshold:2 , e'(T):18.0206457208 , Fe(t): 20.7333333333 , LB: 0.060000  , HB: 47.280000  , TB: 52.660000  , H: 0.010000 
Threshold:3 , e'(T):18.0532985589 , Fe(t): 22.1 , LB: 0.310000  , HB: 47.030000  , TB: 52.660000  , H: 0.010000 
Threshold:4 , e'(T):18.1419328751 , Fe(t): 23.4666666667 , LB: 1.080000  , HB: 46.260000  , TB: 52.660000  , H: 0.010000 
Threshold:5 , e'(T):18.3340204769 , Fe(t): 24.8333333333 , LB: 2.980000  , HB: 44.360000  , TB: 52.660000  , H: 0.010000 
Threshold:6 , e'(T):18.6644520646 , Fe(t): 26.2 , LB: 6.680000  , HB: 40.660000  , TB: 52.660000  , H: 0.010000 
Threshold:7 , e'(T):19.1918260736 , Fe(t): 27.5666666667 , LB: 13.220000  , HB: 34.120000  , TB: 52.660000  , H: 0.010000 
Threshold:8 , e'(T):19.8840355624 , Fe(t): 28.9333333333 , LB: 22.390000  , HB: 24.950000  , TB: 52.660000  , H: 0.010000 
Threshold:9 , e'(T):20.7275611967 , Fe(t): 30.3 , LB: 33.820000  , HB: 13.520000  , TB: 52.660000  , H: 0.010000 
Threshold:10 , e'(T):21.7701607798 , Fe(t): 31.6666666667 , LB: 47.340000  , HB: 0.000000  , TB: 52.660000  , H: 0.010000 
