Initial theoretical error:6
Computed Error:6.01233333333
Threshold:0 , e'(T):6.170926135 , Fe(t): 6.0 , LB: 2.570000  , HB: 97.330000  , TB: 0.100000  , H: 2.570000 
Threshold:1 , e'(T):6.62822687017 , Fe(t): 7.56666666667 , LB: 11.550000  , HB: 88.350000  , TB: 0.100000  , H: 2.570000 
Threshold:2 , e'(T):7.4531146923 , Fe(t): 9.13333333333 , LB: 29.260000  , HB: 70.640000  , TB: 0.100000  , H: 2.570000 
Threshold:3 , e'(T):8.52925225408 , Fe(t): 10.7 , LB: 50.830000  , HB: 49.070000  , TB: 0.100000  , H: 2.570000 
Threshold:4 , e'(T):9.82144907567 , Fe(t): 12.2666666667 , LB: 70.970000  , HB: 28.930000  , TB: 0.100000  , H: 2.570000 
Threshold:5 , e'(T):11.2463474938 , Fe(t): 13.8333333333 , LB: 85.170000  , HB: 14.730000  , TB: 0.100000  , H: 2.570000 
Threshold:6 , e'(T):12.6904415332 , Fe(t): 15.4 , LB: 93.130000  , HB: 6.770000  , TB: 0.100000  , H: 2.570000 
Threshold:7 , e'(T):14.242979243 , Fe(t): 16.9666666667 , LB: 97.270000  , HB: 2.630000  , TB: 0.100000  , H: 2.570000 
Threshold:8 , e'(T):15.7920792079 , Fe(t): 18.5333333333 , LB: 98.990000  , HB: 0.910000  , TB: 0.100000  , H: 2.570000 
Threshold:9 , e'(T):17.3529411765 , Fe(t): 20.1 , LB: 99.660000  , HB: 0.240000  , TB: 0.100000  , H: 2.570000 
Threshold:10 , e'(T):19.0 , Fe(t): 21.6666666667 , LB: 99.900000  , HB: 0.000000  , TB: 0.100000  , H: 2.570000 
