Initial theoretical error:14
Computed Error:14.0023333333
Threshold:0 , e'(T):14.0051343602 , Fe(t): 14.0 , LB: 0.020000  , HB: 78.770000  , TB: 21.210000  , H: 0.020000 
Threshold:1 , e'(T):14.0211984644 , Fe(t): 15.4333333333 , LB: 0.150000  , HB: 78.640000  , TB: 21.210000  , H: 0.020000 
Threshold:2 , e'(T):14.0782319774 , Fe(t): 16.8666666667 , LB: 0.680000  , HB: 78.110000  , TB: 21.210000  , H: 0.020000 
Threshold:3 , e'(T):14.2533866995 , Fe(t): 18.3 , LB: 2.560000  , HB: 76.230000  , TB: 21.210000  , H: 0.020000 
Threshold:4 , e'(T):14.5671689644 , Fe(t): 19.7333333333 , LB: 6.430000  , HB: 72.360000  , TB: 21.210000  , H: 0.020000 
Threshold:5 , e'(T):15.1182583072 , Fe(t): 21.1666666667 , LB: 14.030000  , HB: 64.760000  , TB: 21.210000  , H: 0.020000 
Threshold:6 , e'(T):15.8715861578 , Fe(t): 22.6 , LB: 25.060000  , HB: 53.730000  , TB: 21.210000  , H: 0.020000 
Threshold:7 , e'(T):16.7813666613 , Fe(t): 24.0333333333 , LB: 38.390000  , HB: 40.400000  , TB: 21.210000  , H: 0.020000 
Threshold:8 , e'(T):17.8560783479 , Fe(t): 25.4666666667 , LB: 53.030000  , HB: 25.760000  , TB: 21.210000  , H: 0.020000 
Threshold:9 , e'(T):19.0044776119 , Fe(t): 26.9 , LB: 66.500000  , HB: 12.290000  , TB: 21.210000  , H: 0.020000 
Threshold:10 , e'(T):20.3591073393 , Fe(t): 28.3333333333 , LB: 78.790000  , HB: 0.000000  , TB: 21.210000  , H: 0.020000 
